rain_1h,snow_1h,clouds_all,traffic_volume,is_holiday,hour,day_of_week,month,is_weekend,is_peak,temp_c,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Squall,weather_main_Thunderstorm
0.0,0.0,40,5545,0,9,1,10,0,1,15.129999999999995,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,75,4516,0,10,1,10,0,0,16.210000000000036,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,90,4767,0,11,1,10,0,0,16.430000000000007,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,90,5026,0,12,1,10,0,0,16.980000000000018,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,75,4918,0,13,1,10,0,0,17.99000000000001,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5181,0,14,1,10,0,0,18.57000000000005,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5584,0,15,1,10,0,0,20.02000000000004,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,6015,0,16,1,10,0,1,20.710000000000036,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,20,5791,0,17,1,10,0,1,20.99000000000001,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,20,4770,0,18,1,10,0,1,19.950000000000045,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,20,3539,0,19,1,10,0,1,17.82000000000005,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,1,2784,0,20,1,10,0,0,16.230000000000018,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,2361,0,21,1,10,0,0,15.460000000000036,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,1529,0,22,1,10,0,0,14.010000000000048,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,963,0,23,1,10,0,0,12.300000000000011,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,506,0,0,2,10,0,0,11.480000000000018,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,321,0,1,2,10,0,0,10.32000000000005,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,273,0,2,2,10,0,0,8.03000000000003,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,367,0,3,2,10,0,0,7.939999999999998,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,814,0,4,2,10,0,0,6.3799999999999955,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,2718,0,5,2,10,0,0,5.470000000000027,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5673,0,6,2,10,0,0,5.080000000000041,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,6511,0,8,2,10,0,1,4.970000000000027,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5471,0,9,2,10,0,1,9.330000000000041,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5097,0,12,2,10,0,0,18.82000000000005,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,4887,0,13,2,10,0,0,20.08000000000004,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5337,0,14,2,10,0,0,21.160000000000025,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5692,0,15,2,10,0,0,22.02000000000004,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,6137,0,16,2,10,0,1,21.980000000000018,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,20,4623,0,18,2,10,0,1,20.510000000000048,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,20,3591,0,19,2,10,0,1,17.5,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,20,2898,0,20,2,10,0,0,15.04000000000002,False,True,False,False,False,False,False,False,False,False,False
0.0,0.0,1,2637,0,21,2,10,0,0,13.950000000000045,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,1777,0,22,2,10,0,0,13.100000000000023,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,1015,0,23,2,10,0,0,12.110000000000014,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,598,0,0,3,10,0,0,11.400000000000034,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,369,0,1,3,10,0,0,10.32000000000005,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,312,0,2,3,10,0,0,10.020000000000039,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,367,0,3,3,10,0,0,8.890000000000043,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,835,0,4,3,10,0,0,8.54000000000002,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,2726,0,5,3,10,0,0,8.170000000000016,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5689,0,6,3,10,0,0,7.590000000000032,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,6990,0,7,3,10,0,1,7.420000000000016,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5985,0,8,3,10,0,1,8.710000000000036,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5309,0,9,3,10,0,1,11.830000000000041,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,4603,0,10,3,10,0,0,16.03000000000003,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,4884,0,11,3,10,0,0,18.400000000000034,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5104,0,12,3,10,0,0,21.82000000000005,True,False,False,False,False,False,False,False,False,False,False
0.0,0.0,1,5178,0,13,3,10,0,0,23.230000000000018,True,False,False,False,False,False,False,False,False,False,False
